"Track Name","Last Played Date","Is User Initiated"
"Chef'Special - Try Again",1663658760498,false
"Chef'Special - Try Again",1663658760498,true
"Big Sean - Living Single (feat. Chance the Rapper & Jeremih)",1663658514499,false
"Big Sean - Living Single (feat. Chance the Rapper & Jeremih)",1663658514499,true
"Fats Waller - Two Sleepy People (2000 Remastered Version)",1664862965658,false
"Fats Waller - Two Sleepy People (2000 Remastered Version)",1664862965658,true
"Ed Sheeran - Shape of You",1663657735122,false
"Ed Sheeran - Shape of You",1663657735122,true
"Martin Garrix & Dua Lipa - Scared to Be Lonely",1666083320060,false
"Martin Garrix & Dua Lipa - Scared to Be Lonely",1666075595420,true
"Zara Larsson - I Would Like",1663443572359,false
"War - The Cisco Kid",1666069694474,false
"War - The Cisco Kid",1666069694474,true
"Thomas Acda - Mijn Huis",1658274516739,false
"Thomas Acda - Als Ik Met Mij Zou Zijn",1658281025924,false
"CyHi - Nu Africa",1664348176382,false
"CyHi - Nu Africa",1664348176382,true
"The Beat - Can't Get Used to Losing You",1665033130622,false
"The Beat - Can't Get Used to Losing You",1665033130622,true
"GoldLink x Hare Squead - Herside Story",1664338173843,false
"GoldLink x Hare Squead - Herside Story",1664338173843,true
"GoldLink - Summatime (feat. Wale & Radiant Children)",1664279387118,false
"GoldLink - Summatime (feat. Wale & Radiant Children)",1664279387118,true
"Logic - Everybody",1664276369322,false
"Logic - Everybody",1664276369322,true
"Kendrick Lamar - FEEL.",1662483588627,false
"Kendrick Lamar - FEEL.",1662483588627,true
"Our Last Night - Shape of You (Rock Version)",1660116892752,false
"Our Last Night - Shape of You (Rock Version)",1660116892752,true
"Dua Lipa - Hotter Than Hell",1666087270020,false
"Dua Lipa - Hotter Than Hell",1666075585680,true
"Dua Lipa - Be the One",1666075379310,false
"Dua Lipa - Be the One",1666075379310,true
"Dua Lipa - IDGAF",1666155258442,false
"Dua Lipa - IDGAF",1666155258442,true
"Dua Lipa - Blow Your Mind (Mwah)",1666721473008,false
"Dua Lipa - Blow Your Mind (Mwah)",1666721473008,true
"Dua Lipa - New Rules",1666181746867,false
"Dua Lipa - New Rules",1666074921778,true
"Dua Lipa - Last Dance",1666722087264,false
"Dua Lipa - Last Dance",1666722087264,true
"Camille - Ta douleur",1662628993241,false
"Camille - Ta douleur",1662628993241,true
"Calvin Harris - Slide (feat. Frank Ocean & Migos)",1663656599609,false
"Calvin Harris - Slide (feat. Frank Ocean & Migos)",1663656599609,true
"Calvin Harris - Skrt On Me (feat. Nicki Minaj)",1664286097658,false
"Calvin Harris - Skrt On Me (feat. Nicki Minaj)",1664286097658,true
"Calvin Harris - Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",1663658034435,false
"Calvin Harris - Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",1663658034435,true
"Calvin Harris - Faking It (feat. Kehlani & Lil Yachty)",1664337990502,false
"Calvin Harris - Faking It (feat. Kehlani & Lil Yachty)",1664337990502,true
"Calvin Harris - Hard to Love (feat. Jessie Reyez)",1664340385521,false
"Calvin Harris - Hard to Love (feat. Jessie Reyez)",1664340385521,true
"Rita Ora - Your Song",1664348494464,false
"Rita Ora - Your Song",1664348494464,true
"SZA - Doves In The Wind (feat. Kendrick Lamar)",1664337454539,false
"SZA - Doves In The Wind (feat. Kendrick Lamar)",1664337454539,true
"SZA - Go Gina",1664277812465,false
"SZA - Go Gina",1664277812465,true
"Iggy Pop - The Passenger",1665472780022,false
"Iggy Pop - The Passenger",1665472780022,true
"Coldplay & Big Sean - Miracles (Someone Special)",1664338401180,false
"Coldplay & Big Sean - Miracles (Someone Special)",1664338401180,true
"DJ Khaled - Wild Thoughts (feat. Rihanna & Bryson Tiller)",1664341973170,false
"DJ Khaled - Wild Thoughts (feat. Rihanna & Bryson Tiller)",1664341973170,true
"DJ Khaled - I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",1666248127978,false
"DJ Khaled - I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",1666248127978,true
"Macklemore - Glorious (feat. Skylar Grey)",1663656368576,false
"Macklemore - Glorious (feat. Skylar Grey)",1663656368576,true
"The Penguins - Earth Angel (Will You Be Mine)",1664262560030,false
"The Penguins - Earth Angel (Will You Be Mine)",1664262560030,true
"Frank Ocean - Provider",1664347618363,false
"Frank Ocean - Provider",1664347618363,true
"Rapsody - Nobody (feat. Anderson .Paak, Black Thought & Moonchild)",1666250779327,false
"Rapsody - Nobody (feat. Anderson .Paak, Black Thought & Moonchild)",1666250779327,true
"Rutger Vink - Ik Dood Je Met De Regenboog",1658279113642,false
"Kygo - Stargazing (feat. Justin Jesso)",1664279185049,false
"Kygo - Stargazing (feat. Justin Jesso)",1664279185049,true
"Big K.R.I.T. - Big K.R.I.T.",1666253950699,false
"Big K.R.I.T. - Big K.R.I.T.",1666253950699,true
"Big K.R.I.T. - Confetti",1666243184458,false
"Big K.R.I.T. - Confetti",1666243184458,true
"Big K.R.I.T. - Big Bank (feat. T.I.)",1664428160944,false
"Big K.R.I.T. - Subenstein (My Sub IV)",1666251465166,false
"Big K.R.I.T. - Subenstein (My Sub IV)",1666251465166,true
"Big K.R.I.T. - 1999 (feat. Lloyd)",1666243105500,false
"Big K.R.I.T. - 1999 (feat. Lloyd)",1666243105500,true
"Big K.R.I.T. - Ride Wit Me (feat. Bun B & Pimp C)",1666249373468,false
"Big K.R.I.T. - Ride Wit Me (feat. Bun B & Pimp C)",1666249373468,true
"Big K.R.I.T. - Get Up 2 Come Down (feat. CeeLo Green & Sleepy Brown)",1661231846026,false
"Big K.R.I.T. - Get Up 2 Come Down (feat. CeeLo Green & Sleepy Brown)",1661231846026,true
"Big K.R.I.T. - Layup",1661231814400,false
"Big K.R.I.T. - Layup",1661231814400,true
"Big K.R.I.T. - Aux Cord",1666247634403,false
"Big K.R.I.T. - Aux Cord",1666247634403,true
"Big K.R.I.T. - Get Away",1666620537871,false
"Big K.R.I.T. - Get Away",1666620537871,true
"Big K.R.I.T. - Justin Scott",1666246568210,false
"Big K.R.I.T. - Justin Scott",1666246568210,true
"Big K.R.I.T. - Mixed Messages",1666623297740,false
"Big K.R.I.T. - Mixed Messages",1666623297740,true
"Big K.R.I.T. - Keep the devil Off",1666241524412,false
"Big K.R.I.T. - Keep the devil Off",1666241524412,true
"Big K.R.I.T. - Miss Georgia Fornia (feat. Joi)",1666246784615,false
"Big K.R.I.T. - Miss Georgia Fornia (feat. Joi)",1666246784615,true
"Big K.R.I.T. - Everlasting",1666175728590,false
"Big K.R.I.T. - Everlasting",1664098447835,true
"Big K.R.I.T. - Higher Calling (feat. Jill Scott)",1666336700360,false
"Big K.R.I.T. - Higher Calling (feat. Jill Scott)",1666336700360,true
"Big K.R.I.T. - Price of Fame",1666623066816,false
"Big K.R.I.T. - Price of Fame",1666623066816,true
"Big K.R.I.T. - Drinking Sessions (feat. Keyon Harrold)",1666628841682,false
"Big K.R.I.T. - Drinking Sessions (feat. Keyon Harrold)",1666628841682,true
"Big K.R.I.T. - The Light (feat. Bilal, Robert Glasper Jr., Kenneth Whalum, Burniss Earl Travis II)",1666242898587,false
"Big K.R.I.T. - The Light (feat. Bilal, Robert Glasper Jr., Kenneth Whalum, Burniss Earl Travis II)",1666242898587,true
"AWOLNATION - Seven Sticks of Dynamite",1664348513265,false
"AWOLNATION - Seven Sticks of Dynamite",1664348513265,true
"kelechief - #000000",1664279182016,false
"kelechief - #000000",1664279182016,true
"Miguel - Banana Clip",1666248911291,false
"Miguel - Banana Clip",1666248911291,true
"Miguel - Come Through and Chill (feat. J. Cole & Salaam Remi)",1661628560893,false
"Miguel - Come Through and Chill (feat. J. Cole & Salaam Remi)",1661628560893,true
"mgk, X Ambassadors & Bebe Rexha - Home",1660474454383,false
"The Pointer Sisters - Jump (For My Love) [Single Remix]",1665035675260,false
"The Pointer Sisters - Jump (For My Love) [Single Remix]",1665035675260,true
"Caleborate - Soul",1664286451937,false
"Caleborate - Soul",1664286451937,true
"Alain Clark - Bad Therapy",1666196052431,false
"Alain Clark - Bad Therapy",1666196052431,true
"N.E.R.D & Rihanna - Lemon (Edit)",1666329162623,false
"N.E.R.D & Rihanna - Lemon (Edit)",1666329162623,true
"Camila Cabello - Havana (feat. Young Thug)",1664286875022,false
"Camila Cabello - Havana (feat. Young Thug)",1664286875022,true
"Selah Sue - Together (feat. Childish Gambino)",1662624447126,false
"Selah Sue - Together (feat. Childish Gambino)",1662624447126,true
"BENR - Zonder Haar",1658280290035,false
"Justin Timberlake - Say Something (feat. Chris Stapleton)",1664348083509,false
"Justin Timberlake - Say Something (feat. Chris Stapleton)",1664348083509,true
"Cozz - Zendaya (feat. J. Cole)",1663829465622,false
"Cozz - Zendaya (feat. J. Cole)",1663829465622,true
"Flatbush Zombies - The Goddess (feat. Dave B.)",1666332440999,false
"Flatbush Zombies - The Goddess (feat. Dave B.)",1666332440999,true
"Lil Dicky - Freaky Friday (feat. Chris Brown)",1666249734970,false
"Lil Dicky - Freaky Friday (feat. Chris Brown)",1666249734970,true
"Kali Uchis - After the Storm (feat. Tyler, The Creator & Bootsy Collins)",1664286636256,false
"Kali Uchis - After the Storm (feat. Tyler, The Creator & Bootsy Collins)",1664286636256,true
"Calvin Harris, Dua Lipa - One Kiss",1666721084836,false
"Calvin Harris, Dua Lipa - One Kiss",1666721084836,true
"A$AP Rocky - A$AP Forever (feat. Moby)",1664340618615,false
"A$AP Rocky - A$AP Forever (feat. Moby)",1664340618615,true
"Post Malone - rockstar (feat. 21 Savage)",1659617677083,false
"Post Malone - Psycho (feat. Ty Dolla $ign)",1662361590612,false
"Post Malone - Psycho (feat. Ty Dolla $ign)",1662361590612,true
"Post Malone - Better Now",1666188467896,false
"Post Malone - Better Now",1666188467896,true
"J. Cole - KOD",1659608622943,false
"J. Cole - KOD",1659608622943,true
"J. Cole - ATM",1666612121979,false
"J. Cole - ATM",1666612121979,true
"J. Cole - Kevin's Heart",1666431540493,false
"J. Cole - Kevin's Heart",1666431540493,true
"J. Cole - Window Pain (Outro)",1666190725291,false
"J. Cole - Window Pain (Outro)",1666190725291,true
"IDK - Lil Arrogant (feat. Joey Bada$$ & Russ)",1664276147865,false
"IDK - Lil Arrogant (feat. Joey Bada$$ & Russ)",1664276147865,true
"Maroon 5 - Girls Like You (feat. Cardi B)",1664288200077,false
"Maroon 5 - Girls Like You (feat. Cardi B)",1664288200077,true
"A$AP Rocky - A$AP Forever (REMIX) [feat. Moby, T.I. & Kid Cudi]",1664285868998,false
"A$AP Rocky - A$AP Forever (REMIX) [feat. Moby, T.I. & Kid Cudi]",1664285868998,true
"Sean Paul - No Lie (feat. Dua Lipa)",1666720869263,false
"Sean Paul - No Lie (feat. Dua Lipa)",1666720869263,true
"KIDS SEE GHOSTS - Reborn",1664281351897,false
"KIDS SEE GHOSTS - Reborn",1664281351897,true
"KIDS SEE GHOSTS - Kids See Ghosts (feat. Yasiin Bey)",1664346025274,false
"KIDS SEE GHOSTS - Kids See Ghosts (feat. Yasiin Bey)",1664346025274,true
"Jerry Lee Lewis - Great Balls of Fire",1664648414201,false
"Jerry Lee Lewis - Great Balls of Fire",1664648414201,true
"Erroll Garner - Sunny",1664863083295,false
"Erroll Garner - Sunny",1664863083295,true
"Mac Miller - Come Back to Earth",1666246364203,false
"Mac Miller - Come Back to Earth",1666246364203,true
"Mac Miller - Hurt Feelings",1666254804211,false
"Mac Miller - Hurt Feelings",1666254804211,true
"Mac Miller - What's the Use?",1664346867038,false
"Mac Miller - What's the Use?",1664346867038,true
"Mac Miller - Perfecto",1659438435681,false
"Mac Miller - Perfecto",1659438435681,true
"Mac Miller - Self Care",1666243553921,false
"Mac Miller - Self Care",1666243553921,true
"Mac Miller - Wings",1666187915723,false
"Mac Miller - Wings",1666187915723,true
